State,Code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,>75,Grand Total
JOHOR,Johor,2010,118,174,374,597,670,677,516,407,291,196,155,101,66,34,21,9,4406
KEDAH,Kedah,2010,14,29,61,121,107,66,71,53,65,65,39,43,20,15,4,9,782
KELANTAN,Kelantan,2010,74,143,393,656,411,342,265,267,243,218,198,165,94,61,23,25,3578
MELAKA,Melaka,2010,22,42,117,212,203,175,147,112,117,88,99,69,35,19,19,9,1485
NEGERI SEMBILAN,Negeri Sembilan,2010,17,40,110,183,219,175,148,151,108,94,95,81,42,19,11,8,1501
PAHANG,Pahang,2010,30,76,166,253,255,184,139,128,110,108,87,61,44,28,13,6,1688
PERAK,Perak,2010,43,84,205,336,256,222,194,189,172,168,127,108,84,43,31,26,2288
PERLIS,Perlis,2010,5,13,18,34,35,28,13,16,13,13,11,7,5,2,2,0,215
PULAU PINANG,Pulau Pinang,2010,39,58,158,205,243,249,237,161,142,99,87,56,47,23,20,10,1834
SABAH,Sabah,2010,62,123,197,271,226,226,184,138,133,135,124,90,55,56,36,35,2091
SARAWAK,Sarawak,2010,166,242,272,414,444,476,368,380,330,313,281,196,141,94,49,74,4240
SELANGOR,Selangor,2010,524,900,1455,1940,2570,2461,1887,1374,1032,800,570,372,214,122,87,59,16367
TERENGGANU,Terengganu,2010,58,105,171,224,228,166,122,83,76,73,53,46,25,20,11,11,1472
WP KUALA LUMPUR,WPKL,2010,116,265,442,553,649,603,438,317,252,155,159,106,74,32,26,18,4205
WP LABUAN,WPLabuan,2010,0,1,2,2,1,1,3,0,4,1,0,2,0,1,0,1,19
MALAYSIA,MYS,2010,1288,2295,4141,6001,6517,6051,4732,3776,3088,2526,2085,1503,946,569,353,300,46171
JOHOR,Johor,2011,82,74,143,205,239,213,140,130,105,76,76,52,22,13,9,4,1583
KEDAH,Kedah,2011,5,17,38,69,64,56,42,54,30,48,35,24,16,6,3,7,514
KELANTAN,Kelantan,2011,6,23,61,114,85,88,61,47,52,58,57,29,30,19,11,2,743
MELAKA,Melaka,2011,10,21,32,46,51,53,36,42,35,36,23,24,20,12,6,3,450
NEGERI SEMBILAN,Negeri Sembilan,2011,21,23,46,103,108,98,68,78,47,32,39,39,21,5,6,3,737
PAHANG,Pahang,2011,14,32,79,123,103,124,78,71,64,62,49,34,26,15,9,11,894
PERAK,Perak,2011,37,71,113,187,145,153,115,105,95,101,100,66,55,27,18,23,1411
PERLIS,Perlis,2011,6,6,15,25,13,7,5,8,7,3,8,3,3,0,1,0,110
PULAU PINANG,Pulau Pinang,2011,31,40,86,175,198,201,188,167,137,101,104,59,39,26,17,10,1579
SABAH,Sabah,2011,15,27,54,68,45,33,30,27,35,15,23,12,8,3,4,3,402
SARAWAK,Sarawak,2011,38,39,46,93,100,100,106,102,75,70,69,49,30,27,12,18,974
SELANGOR,Selangor,2011,244,346,660,984,1120,1119,895,677,529,363,319,216,146,58,44,38,7758
TERENGGANU,Terengganu,2011,12,23,50,112,132,61,64,37,43,38,40,25,16,14,6,2,675
WP KUALA LUMPUR,WPKL,2011,66,82,188,264,314,302,225,160,109,108,78,65,37,21,14,5,2038
WP LABUAN,WPLabuan,2011,2,0,2,2,2,1,1,1,1,2,0,0,0,0,1,1,16
MALAYSIA,MYS,2011,589,824,1613,2570,2719,2609,2054,1706,1364,1113,1020,697,469,246,161,130,19884
JOHOR,Johor,2012,97,109,140,194,214,233,180,129,94,81,50,51,34,18,15,11,1650
KEDAH,Kedah,2012,12,34,60,102,103,81,73,53,82,62,59,52,20,8,11,5,817
KELANTAN,Kelantan,2012,20,36,130,210,143,113,124,79,87,66,73,76,41,23,17,7,1245
MELAKA,Melaka,2012,14,21,35,51,70,52,39,19,28,23,22,25,21,11,7,11,449
NEGERI SEMBILAN,Negeri Sembilan,2012,18,19,32,63,82,82,53,44,33,42,31,20,15,7,8,3,552
PAHANG,Pahang,2012,22,31,49,97,83,84,47,44,45,40,40,31,12,10,3,3,641
PERAK,Perak,2012,69,91,128,253,187,190,150,138,108,87,98,76,75,31,22,13,1716
PERLIS,Perlis,2012,3,11,20,34,21,23,13,9,11,9,6,4,2,1,2,3,172
PULAU PINANG,Pulau Pinang,2012,23,30,50,122,109,103,96,55,49,40,36,31,25,14,2,6,791
SABAH,Sabah,2012,24,35,68,90,81,97,62,29,44,47,30,31,14,5,10,5,672
SARAWAK,Sarawak,2012,40,55,69,125,166,183,158,150,146,110,115,79,60,26,21,16,1519
